MEM = MEAN
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
145.24,14304.08,-61.83,-72.58,239.82,19.54,-0.00
134.13,14798.37,-62.42,-75.92,244.56,22.45,-0.00
123.02,15290.95,-64.28,-81.24,245.13,23.70,-0.00
112.65,15783.63,-65.11,-89.30,246.08,21.26,-0.00
104.43,16277.44,-63.84,-86.81,239.72,12.55,-0.00
96.90,16769.33,-64.51,-84.75,137.30,4.66,-0.00
89.14,17256.93,-66.86,-84.93,97.56,8.30,-0.00
82.28,17741.61,-67.43,-86.11,98.19,7.25,-0.00
76.18,18225.80,-66.40,-87.03,121.56,5.17,-0.00
70.61,18711.16,-64.71,-87.78,156.85,3.77,-0.00
65.75,19198.18,-62.03,-88.47,52.08,1.15,-0.00
60.63,19686.52,-61.67,-88.99,42.66,5.57,-0.00
55.83,20175.77,-61.69,-89.23,28.95,8.34,-0.00
51.08,20668.40,-60.91,-89.67,3.18,11.27,-0.00


MEM = 003
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
971.97,-999.00,32.68,17.07,170.96,9.67,-999.00
969.31,344.25,32.43,15.95,178.16,9.56,-0.32
961.48,418.04,31.66,15.59,178.41,11.21,-0.32
951.04,518.51,30.66,15.34,178.45,12.02,-0.31
938.00,646.28,29.41,15.06,178.18,12.53,-0.30
921.86,806.63,27.86,14.66,177.53,12.93,-0.28
901.12,1009.92,25.85,14.09,176.43,13.30,-0.26
876.23,1258.25,23.21,14.51,173.14,13.76,-0.24
850.89,1512.48,20.46,13.36,177.55,13.36,-0.22
824.32,1754.25,20.34,0.82,197.47,11.74,-0.20
801.14,2001.86,21.46,-15.21,212.65,11.58,-0.19
776.15,2256.40,20.66,-18.18,220.46,11.84,-0.17
744.05,2634.11,17.66,-11.31,223.74,12.41,-0.15
701.70,3130.98,14.34,-15.07,225.05,12.02,-0.13
662.51,3626.42,10.36,-13.35,231.35,9.31,-0.11
624.92,4119.85,6.33,-11.53,225.32,7.82,-0.09
588.47,4611.52,2.13,-9.54,224.07,8.70,-0.08
553.08,5101.63,-2.23,-9.33,223.55,11.06,-0.06
519.73,5590.10,-6.28,-11.55,228.50,11.78,-0.05
488.51,6077.25,-9.23,-19.62,233.49,10.17,-0.04
458.63,6563.65,-12.20,-35.30,234.51,11.36,-0.04
430.40,7049.10,-15.99,-38.16,227.10,16.44,-0.03
403.57,7533.05,-20.15,-33.19,228.30,18.22,-0.02
377.77,8015.38,-24.37,-32.46,248.56,16.17,-0.02
353.01,8497.20,-27.68,-38.10,254.05,17.44,-0.02
329.14,8979.87,-30.97,-44.75,238.27,18.21,-0.01
306.62,9463.29,-34.84,-48.66,230.02,16.74,-0.01
285.23,9946.99,-38.83,-50.43,237.65,15.54,-0.01
265.08,10431.08,-42.76,-53.64,255.48,17.39,-0.01
246.70,10915.16,-46.60,-58.43,271.14,20.16,-0.01
229.81,11398.23,-50.50,-61.81,276.28,22.16,-0.00
214.04,11879.59,-54.41,-64.37,275.80,22.63,-0.00
198.39,12359.73,-58.54,-66.14,273.26,22.74,-0.00
183.15,12842.34,-60.62,-68.47,269.12,21.02,-0.00
168.96,13332.42,-61.02,-69.69,258.80,17.08,-0.00
156.33,13830.36,-60.74,-70.44,249.73,16.20,-0.00
144.60,14329.74,-61.62,-71.94,247.11,17.21,-0.00
134.06,14824.80,-62.79,-73.68,251.07,18.68,-0.00
123.25,15315.45,-65.03,-78.79,246.44,19.29,-0.00
112.96,15804.56,-66.17,-91.22,249.38,16.07,-0.00
104.78,16293.67,-65.24,-91.54,249.52,7.00,-0.00
97.22,16779.72,-66.45,-86.53,71.43,5.76,-0.00
89.94,17260.26,-68.17,-85.61,68.23,10.73,-0.00
83.00,17736.68,-69.32,-86.85,69.40,5.89,-0.00
76.36,18211.22,-70.26,-87.53,178.48,1.91,-0.00
70.51,18685.20,-70.16,-88.11,231.58,4.93,-0.00
65.87,19159.54,-67.18,-88.66,235.37,3.28,-0.00
61.37,19636.15,-63.54,-88.89,122.69,4.87,-0.00
56.75,20116.32,-61.51,-89.38,129.16,10.11,-0.00
51.96,20601.01,-60.69,-89.57,134.29,15.25,-0.00


MEM = 004
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
970.17,-999.00,32.41,15.35,173.63,9.96,-999.00
969.11,344.18,32.31,14.35,170.89,9.85,-0.38
961.32,417.79,31.56,13.97,171.06,11.75,-0.37
950.96,518.02,30.57,13.75,171.17,12.68,-0.36
937.93,645.49,29.32,13.52,171.18,13.24,-0.34
921.74,805.48,27.76,13.20,171.14,13.63,-0.33
901.04,1008.33,25.74,12.76,170.91,13.93,-0.31
876.10,1256.08,23.29,12.24,171.39,14.06,-0.28
851.34,1509.89,20.49,13.46,172.77,13.18,-0.26
824.57,1751.75,19.63,6.99,183.91,11.19,-0.24
801.17,1999.53,20.20,-1.28,194.11,10.98,-0.22
775.77,2254.03,19.42,-5.04,200.21,11.33,-0.20
743.84,2631.64,17.07,-6.04,208.61,12.08,-0.17
701.52,3128.01,13.71,-13.29,220.02,12.82,-0.15
662.66,3622.62,10.28,-16.12,235.51,11.79,-0.12
625.24,4115.58,6.47,-11.84,236.95,10.62,-0.10
588.78,4607.11,2.40,-10.30,236.00,10.14,-0.09
553.20,5097.12,-1.83,-12.46,235.47,10.57,-0.07
519.45,5585.98,-5.59,-14.50,234.68,10.40,-0.06
488.15,6074.05,-8.71,-21.74,236.10,9.12,-0.05
458.58,6560.97,-12.14,-33.87,233.36,10.53,-0.04
430.68,7046.12,-16.15,-35.54,227.24,14.46,-0.03
404.23,7529.04,-20.39,-32.61,230.11,14.42,-0.03
378.54,8009.81,-24.69,-33.68,248.70,13.15,-0.02
354.02,8489.38,-28.23,-41.39,249.23,15.55,-0.02
330.53,8969.23,-31.39,-41.97,237.07,18.08,-0.02
307.95,9450.34,-34.61,-44.31,239.63,16.74,-0.01
286.30,9932.82,-38.26,-50.77,250.30,14.92,-0.01
265.60,10416.15,-42.58,-55.56,260.83,15.09,-0.01
246.65,10899.64,-46.79,-58.90,269.22,17.47,-0.01
229.43,11382.51,-50.78,-61.76,271.15,19.85,-0.00
213.63,11864.23,-54.47,-65.26,267.27,19.93,-0.00
198.73,12345.32,-57.54,-68.94,260.69,19.13,-0.00
183.83,12828.67,-59.66,-70.60,256.43,19.30,-0.00
169.68,13318.04,-60.76,-70.29,256.73,20.01,-0.00
156.81,13813.19,-61.70,-70.66,258.40,21.04,-0.00
144.57,14308.35,-63.53,-71.49,257.85,23.44,-0.00
133.86,14800.26,-63.80,-72.83,263.10,26.07,-0.00
123.22,15290.05,-65.01,-77.50,257.89,23.94,-0.00
113.07,15777.60,-67.25,-88.96,251.47,19.83,-0.00
105.24,16263.28,-65.86,-91.15,231.32,13.93,-0.00
97.93,16747.59,-64.78,-87.30,191.01,6.64,-0.00
90.01,17232.00,-64.72,-86.98,142.94,3.13,-0.00
82.55,17717.60,-65.74,-86.87,106.53,3.88,-0.00
76.12,18202.56,-66.56,-86.73,123.26,3.51,-0.00
70.73,18685.44,-66.12,-86.93,132.54,3.76,-0.00
66.20,19165.62,-64.39,-87.63,106.23,4.60,-0.00
61.60,19643.95,-62.90,-88.37,118.14,7.59,-0.00
56.65,20123.08,-62.53,-89.11,123.44,9.91,-0.00
51.82,20605.21,-62.72,-89.74,107.01,12.94,-0.00


MEM = 005
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
972.28,-999.00,32.63,19.34,174.66,10.36,-999.00
969.42,344.33,32.40,18.06,177.62,10.67,-0.33
961.58,418.31,31.61,17.78,178.53,12.40,-0.33
950.93,519.05,30.58,17.57,179.11,13.17,-0.32
937.67,647.19,29.31,17.35,179.53,13.60,-0.30
921.34,808.05,27.73,17.06,179.81,13.87,-0.29
900.60,1012.01,25.71,16.64,179.54,14.08,-0.27
875.45,1261.19,23.06,16.75,177.45,14.26,-0.25
849.92,1516.40,20.01,16.93,180.92,13.93,-0.23
823.32,1759.05,19.62,6.71,199.43,12.55,-0.21
800.68,2007.03,20.35,-3.87,210.06,11.67,-0.19
776.04,2261.55,19.80,-8.21,211.41,10.97,-0.18
744.20,2639.38,18.03,-12.68,211.42,11.15,-0.15
702.10,3136.32,14.79,-22.72,214.27,10.51,-0.13
662.79,3631.66,10.68,-16.20,228.07,8.70,-0.11
624.92,4125.22,6.51,-11.70,238.35,8.48,-0.09
588.30,4616.94,2.07,-10.62,256.68,7.97,-0.08
552.71,5106.33,-2.84,-11.53,262.15,8.41,-0.06
519.28,5593.62,-6.97,-13.20,251.31,8.77,-0.05
488.01,6080.22,-9.48,-19.50,237.25,8.92,-0.04
457.96,6567.11,-12.11,-32.75,225.61,9.60,-0.04
429.52,7053.95,-15.46,-45.08,215.18,12.86,-0.03
403.14,7540.02,-19.03,-39.48,215.85,14.60,-0.02
378.00,8024.63,-23.09,-33.71,234.14,14.55,-0.02
353.94,8507.43,-27.15,-35.47,238.09,15.71,-0.02
330.59,8988.91,-31.09,-39.67,228.54,16.75,-0.01
308.01,9470.11,-34.86,-46.20,229.83,16.14,-0.01
286.05,9952.17,-38.69,-50.50,242.54,15.65,-0.01
265.08,10435.58,-42.87,-53.86,254.34,14.83,-0.01
246.07,10919.75,-46.96,-59.27,270.98,13.49,-0.01
228.98,11403.47,-50.92,-63.38,280.74,15.29,-0.00
213.32,11886.14,-54.32,-67.70,282.84,17.71,-0.00
198.46,12368.75,-57.03,-70.97,290.11,20.15,-0.00
183.80,12853.03,-59.79,-71.39,284.51,20.18,-0.00
169.98,13341.19,-61.47,-70.77,274.41,18.83,-0.00
157.30,13833.94,-62.14,-71.11,263.91,18.64,-0.00
144.55,14326.96,-64.39,-72.41,253.17,19.54,-0.00
133.56,14817.08,-65.08,-74.41,252.16,20.94,-0.00
122.71,15305.35,-66.45,-79.26,248.11,21.91,-0.00
112.50,15792.42,-68.22,-90.10,243.81,21.64,-0.00
104.63,16278.09,-67.24,-90.68,234.81,15.82,-0.00
97.50,16762.10,-65.87,-86.51,177.75,5.93,-0.00
90.04,17243.27,-67.37,-85.26,106.42,10.91,-0.00
82.75,17722.87,-67.76,-85.81,105.89,12.81,-0.00
76.40,18204.87,-65.92,-86.80,110.16,9.67,-0.00
71.03,18689.24,-63.92,-87.44,105.88,8.46,-0.00
66.25,19172.95,-62.57,-88.07,89.00,8.65,-0.00
61.49,19654.61,-62.11,-88.53,92.99,7.83,-0.00
56.46,20136.55,-62.04,-88.77,133.87,7.37,-0.00
52.29,20621.68,-59.48,-88.85,153.13,8.48,-0.00


MEM = 006
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
970.53,-999.00,32.63,18.89,184.01,9.81,-999.00
968.23,344.31,32.21,17.94,186.91,9.39,-0.21
960.36,418.23,31.39,17.73,187.40,10.83,-0.20
949.74,518.89,30.34,17.60,187.87,11.47,-0.20
936.50,646.93,29.04,17.46,188.20,11.84,-0.19
920.21,807.67,27.44,17.24,188.46,12.10,-0.18
899.39,1011.49,25.39,16.85,188.55,12.33,-0.17
874.49,1260.49,22.71,17.19,186.29,12.43,-0.16
849.40,1515.44,19.90,16.68,187.10,12.05,-0.15
822.71,1757.86,19.44,7.53,202.48,11.63,-0.13
799.42,2005.79,20.27,-3.95,215.08,12.35,-0.12
774.93,2260.19,19.71,-10.62,220.67,13.12,-0.11
743.17,2637.44,17.45,-12.82,221.08,13.35,-0.10
700.63,3133.61,14.40,-30.06,226.51,11.92,-0.08
661.03,3628.74,10.55,-18.60,238.18,8.50,-0.07
623.25,4122.70,6.46,-11.85,240.40,9.05,-0.06
586.92,4615.21,2.26,-9.84,237.70,12.68,-0.05
551.49,5105.92,-2.27,-10.88,231.72,15.31,-0.04
518.08,5595.05,-6.05,-13.94,228.92,14.47,-0.03
486.89,6083.45,-8.78,-22.17,234.60,9.87,-0.03
456.97,6571.58,-11.77,-36.70,232.50,7.28,-0.02
428.59,7058.99,-15.62,-41.89,221.23,9.94,-0.02
402.31,7544.71,-19.75,-35.61,233.68,12.31,-0.02
377.32,8028.27,-23.84,-33.92,259.69,14.62,-0.01
353.46,8510.03,-27.54,-40.11,257.20,15.88,-0.01
330.33,8990.61,-31.35,-46.36,236.24,16.57,-0.01
308.03,9470.86,-35.01,-49.24,228.35,15.84,-0.01
286.35,9951.91,-38.64,-50.37,237.30,15.20,-0.01
265.47,10434.21,-42.82,-52.26,251.17,17.61,-0.00
246.51,10917.00,-47.02,-54.66,264.85,18.91,-0.00
229.32,11399.02,-51.16,-58.18,273.24,19.37,-0.00
213.28,11879.56,-55.19,-63.42,272.24,18.46,-0.00
198.34,12359.43,-58.26,-70.04,267.59,18.84,-0.00
183.72,12841.99,-59.77,-71.68,269.45,20.66,-0.00
169.30,13330.29,-61.76,-70.21,268.62,18.89,-0.00
156.32,13823.14,-63.38,-70.25,258.25,16.24,-0.00
143.83,14315.88,-65.21,-72.39,243.62,17.58,-0.00
